 47/250 [====>.........................] - ETA: 40s - loss: 1.1126e-07 - accuracy: 1.0000
 48/250 [====>.........................] - ETA: 39s - loss: 1.0908e-07 - accuracy: 1.0000
 49/250 [====>.........................] - ETA: 39s - loss: 1.0718e-07 - accuracy: 1.0000
 50/250 [=====>........................] - ETA: 39s - loss: 1.1072e-07 - accuracy: 1.0000
 51/250 [=====>........................] - ETA: 39s - loss: 1.0873e-07 - accuracy: 1.0000
 52/250 [=====>........................] - ETA: 39s - loss: 1.0714e-07 - accuracy: 1.0000
 53/250 [=====>........................] - ETA: 39s - loss: 1.0667e-07 - accuracy: 1.0000
 54/250 [=====>........................] - ETA: 38s - loss: 1.0586e-07 - accuracy: 1.0000
 55/250 [=====>........................] - ETA: 38s - loss: 1.0739e-07 - accuracy: 1.0000
 56/250 [=====>........................] - ETA: 38s - loss: 1.1398e-07 - accuracy: 1.0000
